epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.5376949660808935,0.37419273565212885,0.8222689075630252,0.8175796988585042
2,0.3087852624121646,0.24104744071761766,0.8991596638655462,0.8985125212412767
3,0.27230565279235996,0.23923834691445034,0.9121848739495798,0.9120702889623863
4,0.2707396329035571,0.30264304478963217,0.8857142857142857,0.8856105149018534
5,0.2668168539621093,0.25153619845708214,0.9109243697478991,0.9109526124224138
6,0.252555176694368,0.2413936550418536,0.8995798319327731,0.899625567958879
7,0.25517346041416483,0.23995012561480203,0.9050420168067227,0.9051053257541783
8,0.24891317300069468,0.25283999492724735,0.9067226890756303,0.9066564768302818
9,0.25231268998743134,0.2381885740160942,0.9105042016806723,0.9105310426719103
10,0.24211431064798483,0.2725881064931552,0.8890756302521008,0.8891108003750814
11,0.24099187242249723,0.24925654272238412,0.9063025210084034,0.9063451952084938
12,0.24127731622409454,0.26010583867629367,0.8886554621848739,0.8887303251938156
13,0.2455867520835601,0.23479529738426208,0.9109243697478991,0.9109429715866996
14,0.23985877360312013,0.22534217288096745,0.9134453781512605,0.9134903789944803
15,0.23250508197938985,0.3003910452127457,0.8584033613445378,0.8577155479574465
16,0.23766562478498854,0.2366580268740654,0.9147058823529411,0.9146916066811499
17,0.23733528993394576,0.2490488397081693,0.8991596638655462,0.8992255438760869
18,0.23677315996984832,0.250778411924839,0.9004201680672269,0.9004655213650807
19,0.23095477503615355,0.22087077617645265,0.9197478991596638,0.919756635692575
20,0.23587332843961964,0.21208781003952026,0.9214285714285714,0.9214493572449219
21,0.23314483560829097,0.22572036057710648,0.9105042016806723,0.910484655890427
22,0.2293551843291624,0.20492214381694793,0.9205882352941176,0.9205535486039721
23,0.22736602996953276,0.21249263604482016,0.9147058823529411,0.9147039341569972
24,0.2357938856944699,0.227137009203434,0.9105042016806723,0.9105176187027394
25,0.22738896433314068,0.23706037183602652,0.9126050420168067,0.9126384370151304
26,0.22770662682627876,0.2547761464118958,0.9042016806722689,0.9042577782012391
27,0.21673389601801843,0.23221279392639796,0.9180672268907563,0.9180493328574333
28,0.22697565818630916,0.2248538142442703,0.9147058823529411,0.9147253088515556
29,0.22486979653075653,0.2184997828801473,0.9033613445378151,0.9034312106692712
30,0.22703741387877033,0.21318259999155997,0.9201680672268907,0.9201960323431959
31,0.22873015072189573,0.23723831976453463,0.9134453781512605,0.9134756982247281
32,0.2199232506453133,0.287415840725104,0.853781512605042,0.8523518651506841
