epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,-1177403044485351.8,-1.2098073693465636e+16,0.028276237085372486,0.0015551182743938335
2,-1.960902532480126e+18,-1.1874995037342812e+19,0.028276237085372486,0.0015551182743938335
3,-2.0133244105313406e+20,-7.762002697227799e+20,0.028276237085372486,0.0015551182743938335
4,-2.492784007409233e+21,-3.774441215277519e+21,0.028276237085372486,0.0015551182743938335
5,-3.8607466503305156e+21,-4.3129915916306995e+21,0.028276237085372486,0.0015551182743938335
6,-4.291380393766534e+21,-4.7061561090492056e+21,0.028276237085372486,0.0015551182743938335
7,-4.623349310262596e+21,-5.054946700589873e+21,0.028276237085372486,0.0015551182743938335
8,-4.969347085236711e+21,-5.387485821143621e+21,0.028276237085372486,0.0015551182743938335
9,-5.199767754846479e+21,-5.554209728439879e+21,0.028276237085372486,0.0015551182743938335
10,-5.361292024593095e+21,-5.715176176100281e+21,0.028276237085372486,0.0015551182743938335
11,-5.493462672367368e+21,-5.874831859703241e+21,0.028276237085372486,0.0015551182743938335
12,-5.650488579881703e+21,-6.032426824357686e+21,0.028276237085372486,0.0015551182743938335
13,-5.779106655304488e+21,-6.152811721590692e+21,0.028276237085372486,0.0015551182743938335
14,-5.883120735979364e+21,-6.196751335219228e+21,0.028276237085372486,0.0015551182743938335
15,-5.899485437220188e+21,-6.234271728195866e+21,0.028276237085372486,0.0015551182743938335
16,-5.936819358086017e+21,-6.274088747089483e+21,0.028276237085372486,0.0015551182743938335
17,-5.961861661273989e+21,-6.322375772064671e+21,0.028276237085372486,0.0015551182743938335
18,-6.022858233453835e+21,-6.37240244646052e+21,0.028276237085372486,0.0015551182743938335
19,-6.096386965209873e+21,-6.412713527340145e+21,0.028276237085372486,0.0015551182743938335
20,-6.099164213512685e+21,-6.459713866500943e+21,0.028276237085372486,0.0015551182743938335
21,-6.168332208195763e+21,-6.505306316965029e+21,0.028276237085372486,0.0015551182743938335
22,-6.209467913545911e+21,-6.546794043928709e+21,0.028276237085372486,0.0015551182743938335
23,-6.231726842849395e+21,-6.590123458631871e+21,0.028276237085372486,0.0015551182743938335
24,-6.269449425343326e+21,-6.634891222598567e+21,0.028276237085372486,0.0015551182743938335
25,-6.304872549653775e+21,-6.673697754818574e+21,0.028276237085372486,0.0015551182743938335
26,-6.347936464672647e+21,-6.711788090945898e+21,0.028276237085372486,0.0015551182743938335
27,-6.410026892198601e+21,-6.751502826443345e+21,0.028276237085372486,0.0015551182743938335
28,-6.461227754112409e+21,-6.79089710207318e+21,0.028276237085372486,0.0015551182743938335
29,-6.486374464386379e+21,-6.830793672225463e+21,0.028276237085372486,0.0015551182743938335
30,-6.530412859690831e+21,-6.871655706400882e+21,0.028276237085372486,0.0015551182743938335
31,-6.536113210397726e+21,-6.910824852399398e+21,0.028276237085372486,0.0015551182743938335
32,-6.589087217888214e+21,-6.95243885304137e+21,0.028276237085372486,0.0015551182743938335
33,-6.613229342744977e+21,-6.99336404862433e+21,0.028276237085372486,0.0015551182743938335
34,-6.670024847158102e+21,-7.030105195720131e+21,0.028276237085372486,0.0015551182743938335
35,-6.722127497657045e+21,-7.134149552121645e+21,0.028276237085372486,0.0015551182743938335
36,-6.806279839857541e+21,-7.174519991463492e+21,0.028276237085372486,0.0015551182743938335
37,-6.840206718899462e+21,-7.219394550312138e+21,0.028276237085372486,0.0015551182743938335
38,-6.902473299785026e+21,-7.265213016083117e+21,0.028276237085372486,0.0015551182743938335
39,-6.94526383993482e+21,-7.305928742113474e+21,0.028276237085372486,0.0015551182743938335
40,-6.955405269040257e+21,-7.348135123829492e+21,0.028276237085372486,0.0015551182743938335
