epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.2295934740842479,0.08247052888640542,0.9694207586004117,0.9695012308597661
2,0.09233587309957143,0.06512370248266418,0.9764775066157013,0.9765202036200138
3,0.08472524599053413,0.1504604062225111,0.9353131431931785,0.9347439802139003
4,0.08618790090857205,0.06813172961119562,0.9773596001176125,0.9773680249521304
5,0.07292090752044685,0.0633470395329125,0.9782416936195236,0.9782416936195236
6,0.0829482677087042,0.07104099551257588,0.9735371949426639,0.9735974291947846
7,0.07182204869587054,0.10674384527638407,0.9673625404292855,0.9673428409437324
8,0.07568785068749964,0.07272912363933016,0.9782416936195236,0.9782642912717007
9,0.0717608478780578,0.08635391153081347,0.9735371949426639,0.973507698903151
10,0.07207230471399809,0.07175625333039644,0.9770655689503087,0.9770504413682869
11,0.0754380750228153,0.06883444929023265,0.9802999117906498,0.9803051666955057
12,0.07078941571182773,0.07002775462443195,0.9791237871214349,0.979124908777527
13,0.06907468888885565,0.08243828826175037,0.9782416936195236,0.978239343108209
14,0.06631561434087098,0.06862548239214565,0.9808879741252573,0.9808910438368167
15,0.06916887807016146,0.07109972406272361,0.9753013819464863,0.9753415298678969
