epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.5212106151853093,0.2811166814963023,0.884453781512605,0.8839215449727434
2,0.39184445155616454,0.2627417310078939,0.9042016806722689,0.9042016806722687
3,0.3648822853009211,0.16597463309764862,0.934453781512605,0.9343942658995924
4,0.3338081000333441,0.20210501263538996,0.9411764705882353,0.9412097121888962
5,0.30989439776900174,0.14033111537496248,0.9563025210084034,0.9563148615128991
6,0.2873756962358208,0.13400276837249597,0.9529411764705882,0.9529560971288226
7,0.2878527775292433,0.16584531466166177,0.9428571428571428,0.9428690761122225
8,0.2732152366749728,0.13862571701407433,0.9508403361344537,0.9508664764252597
9,0.2740357634816998,0.15567941799759866,0.9415966386554622,0.9416276942146246
10,0.2607056034117537,0.1568220146993796,0.9584033613445379,0.9584004665708279
11,0.2579408036813054,0.14496787885824838,0.9630252100840336,0.9630252100840336
12,0.2553868822953637,0.1649475393941005,0.9205882352941176,0.9206264712513885
13,0.2532487479458615,0.13499218573172886,0.9588235294117647,0.9588305257678292
14,0.24074597822434327,0.17977756187319754,0.9256302521008404,0.9256818346455402
15,0.24795004619632252,0.1690883098045985,0.942436974789916,0.9424722973395983
16,0.2435176868470754,0.12385207831859589,0.9638655462184874,0.9638585828897247
17,0.23076129776216514,0.11476737086971601,0.9647058823529412,0.964693451138888
18,0.243092208349945,0.13336025774478913,0.9550420168067227,0.9550367222097752
19,0.23105666516867115,0.1471612540880839,0.9466386554621848,0.9466731312764007
20,0.23458116634564757,0.1545919930934906,0.9420168067226891,0.9420538290217926
21,0.2311148984847508,0.12474513903260231,0.961764705882353,0.9617688683142637
22,0.22817236952297748,0.1441264236966769,0.9546218487394958,0.9545980437908116
23,0.23289360484598123,0.14599682045479614,0.9399159663865546,0.9399556329228718
24,0.21563408204538465,0.12200173725684484,0.9558823529411765,0.9558889669661392
25,0.22551824878400725,0.1325355854878823,0.9571428571428572,0.9571592335362659
26,0.21078514114322566,0.14362394611040752,0.954201680672269,0.9542169708740817
27,0.22068810841200906,0.14438870012760163,0.9491596638655462,0.9491798724672649
