epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.5217940964794252,0.29309376201126724,0.863147605083089,0.8624709712835882
2,0.20775746399171371,0.10502185616860515,0.9657869012707723,0.9658000585228935
3,0.09705297976475029,0.06958623760510818,0.9794721407624634,0.9794829132791689
4,0.0806533881979539,0.10046368729399546,0.9628543499511242,0.9629178765818381
5,0.04980918338376685,0.02267263286785237,0.9921798631476051,0.9921771826668853
6,0.03628851585012153,0.02233692086888084,0.9931573802541545,0.9931609710930563
7,0.03661381766540693,0.03976252545533043,0.9863147605083089,0.9863278217515058
8,0.07367035047803758,0.2510718842684412,0.9149560117302052,0.914969501424243
9,0.0391485084794283,0.08665590074624241,0.9745845552297165,0.9746219334637745
10,0.02340037132940068,0.041179515214647466,0.9882697947214076,0.9882590538519608
11,0.03260163101219315,0.024349049465755,0.9912023460410557,0.9911968881081232
12,0.08310105699848207,0.1972612184508673,0.9472140762463344,0.9473037733267685
13,0.02732453903444487,0.04114149479126716,0.989247311827957,0.989242652183747
14,0.020104730418848856,0.019787771312863356,0.9951124144672532,0.9951135707860256
15,0.01806694156887443,0.03299696798868945,0.989247311827957,0.9892557193616485
16,0.02065191010832355,0.01923945064113819,0.9960899315738025,0.9960905558969901
17,0.022891601648856903,0.009094981791340828,0.9970674486803519,0.9970676856603513
18,0.033972354984468954,0.013648228667410223,0.9980449657869013,0.9980449657869013
19,0.008760601782244552,0.29412886016647943,0.9501466275659824,0.9502293212531168
20,0.05723229776958009,0.03842230669988567,0.9902248289345064,0.9902318722144814
21,0.005382435843585038,0.024188458784228484,0.9960899315738025,0.9960911497479868
22,0.03340984295923436,0.03555871098203056,0.989247311827957,0.9892557193616485
23,0.033556350395293665,0.008085079763804348,0.9960899315738025,0.9960911497479868
24,0.0348726917175497,0.014911369760511661,0.9970674486803519,0.9970681424716152
25,0.003841335337113505,0.00897035883131616,0.9990224828934506,0.9990225618867837
26,0.011596048051423528,0.04095145522600063,0.9843597262952102,0.9843388168383856
27,0.017837385795936838,0.052896674539368305,0.9843597262952102,0.9843388168383856
28,0.052708186335151785,0.011710400557513878,0.9970674486803519,0.9970676856603513
29,0.008856738977661123,0.03908731770188556,0.9941348973607038,0.9941348973607038
30,0.02379649173366614,0.09454903620210539,0.9843597262952102,0.9843763008705188
