epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.13727943059463252,0.048319190059302845,0.9851680185399768,0.9853221827146662
2,0.056401712877902604,0.021748750416709636,0.9928157589803013,0.9928199309232796
3,0.03536619171994373,0.038895292473816234,0.9898030127462341,0.9898870819614543
4,0.11133708824645466,0.04749746085856006,0.9840092699884125,0.9837830069528466
5,0.026292892392028394,0.02575528185135517,0.9935110081112398,0.9935333493608055
6,0.033918932142644395,0.014790989229765867,0.99513325608343,0.995150928871142
7,0.03414997046391285,0.03165186121938556,0.990034762456547,0.9900328273401057
8,0.03971548261440804,0.017348142877337467,0.9953650057937428,0.9953774570902355
9,0.02452678932354541,0.01809538277598311,0.9944380069524913,0.9944571565949759
10,0.04469133421347461,0.007281343307518337,0.99837775202781,0.9983786940794501
11,0.01457273159406343,0.011606069544142726,0.9962920046349942,0.9962991423153067
12,0.02848746785709578,0.008276588530915339,0.9979142526071842,0.9979154638164359
13,0.026648064091196636,0.005722810320785114,0.99837775202781,0.9983774370088544
14,0.02564337200089934,0.010729205600412985,0.9955967555040556,0.9955820329167291
15,0.027191793770807632,0.012058005070208953,0.9962920046349942,0.9962905634006984
16,0.02490899287809629,0.0024162549103191326,0.9990730011587485,0.9990737183413474
17,0.022638763151484297,0.130121576327363,0.9944380069524913,0.9944613378884012
18,0.009571557511393661,0.012960484965796668,0.9979142526071842,0.997914656986951
19,0.021647664309408978,0.0038022196854792458,0.9993047508690615,0.9993051546054786
20,0.024062976427011305,0.030856462534086613,0.9923522595596755,0.9923051052941332
21,0.01648888988975725,0.026724207774595683,0.9935110081112398,0.9934828179288675
22,0.022819008205753374,0.0161226710567225,0.9942062572421785,0.9941775864749101
23,0.02043352765419376,0.008145264927368803,0.9979142526071842,0.9979138475828129
24,0.008418540115467013,0.05897868944612112,0.9902665121668598,0.9902045120466684
25,0.021771496566103728,0.029579703488882485,0.9962920046349942,0.9962991423153067
26,0.019052454846594163,0.015374414582611398,0.99837775202781,0.9983793196168268
