epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.5790530595300573,0.33503079239744693,0.8328416912487709,0.8329231498924229
2,0.2025356051743912,0.14258245682140114,0.9537856440511308,0.9536050932393304
3,0.1547254831939733,0.10912633352563716,0.9646017699115044,0.9644787381597525
4,0.08451125520940561,0.10251174198310764,0.9646017699115044,0.9644686349753308
5,0.09861501207737695,0.05670007731532678,0.9754178957718781,0.9753674974771789
6,0.09493008551983396,0.06541046345228096,0.9773844641101278,0.9773626461209165
7,0.07515526044517473,0.1288118276327168,0.9508357915437562,0.9505414320965678
8,0.05190735572116576,0.06656416246960362,0.9724680432645034,0.9724015586237464
9,0.05115140621143219,0.0820502439089772,0.9705014749262537,0.970527535110686
10,0.09230073518652011,0.0937485314807418,0.9616519174041298,0.9614906863599713
11,0.048245830653473,0.03494434872936836,0.9862340216322517,0.9862193702373527
12,0.034648374386359704,0.01883501752928396,0.9931170108161259,0.9931164751171011
13,0.02909067411015697,0.11842993971583388,0.9724680432645034,0.9725032836907095
14,0.15946267186554675,1.0156317425684003,0.9773844641101278,0.9774111835346386
15,0.13234640146729068,0.046044170894447234,0.9872173058013766,0.9872074436971284
16,0.0642947909116208,0.10374430121373734,0.9665683382497542,0.9664704135903707
17,0.02480794367335187,0.029587430479296017,0.9882005899705014,0.9881967770406497
18,0.017698744956513253,0.018223241595858752,0.9931170108161259,0.9931164751171011
19,0.033867502929944636,0.017118026124295582,0.9931170108161259,0.9931153630222254
20,0.19201252416251446,0.3137220060546042,0.951819075712881,0.9515552165241945
21,0.02572881112371941,0.0347264854692213,0.9901671583087512,0.9901604927545427
22,0.1190172927151899,0.05853278647445581,0.9852507374631269,0.9852365083397281
23,0.01925228061224984,0.018368111622433514,0.9941002949852508,0.9940983885203248
24,0.00535300922591545,0.010968457960325723,0.9960668633235005,0.9960668633235005
25,0.0013246630819961735,0.01805953021379625,0.9950835791543756,0.9950824021587324
26,0.0009920503756534556,0.022243640980050813,0.9950835791543756,0.9950839521158239
27,0.028603952368593418,0.04377959154862765,0.984267453294002,0.9842441290858047
28,0.05639736918209505,0.09911353005321644,0.9773844641101278,0.977343368429185
29,0.3361173427463527,0.06305430146703483,0.9911504424778761,0.9911547765127813
30,0.03991675735159276,0.010898452461738373,0.9970501474926253,0.9970494412952395
