epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.2860165972242123,0.3513659191112353,0.8629814760364599,0.8564764705291388
2,0.0786002765533594,0.24264802883418513,0.9194354601587769,0.9177129818259377
3,0.07309285832288683,0.11311977499848103,0.9588356365774772,0.95851860983788
4,0.04730388580687548,0.44414864603688003,0.8829755954131138,0.8785952189699802
5,0.07060057058200989,0.085237604169003,0.9670685092619817,0.9668349484082747
6,0.05521365495238687,0.10794090617519075,0.9629520729197295,0.962649507760035
7,0.0514302664540685,0.25234190147684915,0.9138488679800059,0.9118065297608879
8,0.050232986226495586,0.31972097463363636,0.8967950602763893,0.8935521581087631
9,0.04024384418372647,0.20796391593214197,0.9306086445163188,0.9293719363517776
10,0.035958305598708856,0.12928459483493002,0.9600117612466922,0.9596726141927612
11,0.046642468752036634,0.1490459724890615,0.9585416054101735,0.9581467042227371
12,0.048153704211915054,0.11119571319154666,0.9632461040870333,0.9629430634070908
13,0.03743980222549898,0.12056042541621644,0.9614819170832108,0.9611460762569556
14,0.03288229235628141,0.16243268978944972,0.9567774184063511,0.9563443795771969
15,0.037505834052961144,0.11489575756421275,0.9697147897677154,0.9695379053617038
