epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.3035485753329013,0.17431782126807976,0.9138655462184874,0.9128569890328675
2,0.06638437124025817,0.032544206471210535,0.9873949579831933,0.9873898120324764
3,0.09164709840963861,0.33716928006851316,0.9365546218487395,0.9365195720561411
4,0.0781870694451879,0.054102806159179506,0.9764705882352941,0.9764371616703544
5,0.05154832180897375,0.03895108934316859,0.9882352941176471,0.9882291224642844
6,0.03910117689339509,0.03921311475294062,0.9861344537815127,0.9861213886185389
7,0.07132962151172755,0.08437813537793223,0.973109243697479,0.973055357622959
8,0.037212117983644245,0.017368975724041832,0.9953781512605042,0.9953788441583574
9,0.12406660616731396,0.009268936110136933,0.9970588235294118,0.9970592644644092
10,0.08632988698366816,0.05594074802131169,0.9823529411764705,0.9823344599061612
11,0.03178405872480074,0.06124523394457536,0.9802521008403361,0.980239943922806
12,0.030565342312323645,0.021592632748819552,0.9911764705882353,0.9911736052370138
13,0.047789798347918945,0.02996728387792636,0.9894957983193278,0.9894912101328006
14,0.07104060330492397,0.039601234435118475,0.9852941176470589,0.9852822455125705
15,0.025398677635106868,0.0695268908274413,0.9789915966386554,0.9789633807046055
16,0.036596208266770965,0.0340110136203888,0.9945378151260504,0.9945388504804841
17,0.03506226286534182,0.013909340366027142,0.9957983193277311,0.9957981258904625
18,0.0392690532349918,0.01670778320076336,0.9932773109243698,0.9932745664173206
19,0.024483483389320417,0.04200401067276036,0.9861344537815127,0.9861259180734595
