epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.16918990875859952,0.06779737550748029,0.9777520278099653,0.9773244073257302
2,0.09438364541624727,0.11772590935723946,0.9772885283893396,0.977314842940159
3,0.08846677353735014,0.07415282941526836,0.9752027809965238,0.9746416531561033
4,0.051372929652097714,0.1017255977642317,0.9758980301274623,0.9755726123643955
5,0.04948181589711769,0.014559950485043929,0.9958285052143685,0.9958186989987632
6,0.03416694781513424,0.02746220269911806,0.9930475086906141,0.9930339106661175
7,0.036926767690192513,0.0487453736968207,0.9835457705677868,0.983320062262733
8,0.03340196573060439,0.025863996726195215,0.9921205098493627,0.9920799254548571
9,0.025475519595787217,0.011478397479075713,0.9974507531865585,0.9974502581567712
10,0.02531897371250076,0.036092697782768426,0.9907300115874855,0.9907443096677342
11,0.02444047839949579,0.018508306141658076,0.99675550405562,0.9967617495258936
12,0.01687039731661555,0.06937834113573992,0.9860950173812283,0.986006445780955
13,0.026217563267675315,0.03586018955396509,0.9935110081112398,0.9935284399263297
14,0.040678417775029285,0.013437515536734817,0.996523754345307,0.9965190064114752
15,0.011837238597306244,0.031419564602880555,0.9907300115874855,0.9906785100677161
16,0.015754900668058052,0.007039112061695527,0.9981460023174971,0.9981481504440947
17,0.01613644518725793,0.0037816343433023218,0.99837775202781,0.9983774370088544
18,0.018416090293902312,0.0018491939430485109,0.9995365005793743,0.9995365005793743
19,0.018180367936941128,0.040557033919410554,0.9909617612977983,0.9909877549567339
20,0.014905854109806695,0.17164034377402992,0.9858632676709154,0.9860226948120605
21,0.031598427078349776,0.022147393625722496,0.9969872537659328,0.9969936279986683
22,0.02110782222731008,0.025471049726584174,0.9953650057937428,0.9953774570902355
23,0.018512337619468973,0.023606941193171967,0.9958285052143685,0.995839711381212
24,0.015879378954810622,0.034145640407723526,0.9969872537659328,0.9969913230176517
25,0.018001468482267784,0.006530732473065691,0.99837775202781,0.9983780665454063
26,0.016429911859489228,0.08709799782542002,0.9944380069524913,0.9944508343689633
27,0.01598568073760993,0.0056793470527286005,0.99837775202781,0.9983774370088544
28,0.020326046320515833,0.09063651672698943,0.9800695249130938,0.9799180418026299
