epoch,train_loss,valid_loss,valid_accuracy,valid_f1
1,0.5343178494454977,0.38212788725059305,0.834873949579832,0.8325414379078024
2,0.3826101118437928,0.3115071677821595,0.8626050420168068,0.8601731135284484
3,0.3332543695686827,0.2136929240077734,0.9277310924369748,0.9274115431067156
4,0.32296695971450395,0.18951073506434493,0.9571428571428572,0.957068060595858
5,0.3010888771448883,0.1520323039379421,0.9710084033613445,0.971025661609603
6,0.3366897172110261,0.1409320463613926,0.9668067226890756,0.9667883146597406
7,0.2734650895263808,0.2228776071589415,0.9382352941176471,0.938061887704458
8,0.2662957032239306,0.14346178786359545,0.980672268907563,0.9806813345565053
9,0.2568537346388779,0.14525472900975533,0.9718487394957983,0.9718440278208721
10,0.2778655292977375,0.16568756311031796,0.9621848739495799,0.9621023027729747
11,0.2563402283530152,0.15406058312412477,0.9705882352941176,0.9705692158848104
12,0.2735238835635191,0.20227871272687944,0.9441176470588235,0.9439067945178538
13,0.26432433265429545,0.24975496656380655,0.965546218487395,0.9655710554117839
14,0.2388321424742841,0.12254472871329761,0.9735294117647059,0.9735147319438439
15,0.2608781915888453,0.16096909162307146,0.9634453781512605,0.9633890965536569
16,0.22799616695858965,0.12051589586522005,0.9798319327731092,0.979829061031877
17,0.2871321723289469,0.15330408172269397,0.9810924369747899,0.9810746208434623
18,0.23423896291093277,0.1338119299194757,0.9571428571428572,0.9569787026666552
19,0.19128417376857706,0.11939381439888837,0.969327731092437,0.9692702836639593
20,0.22492914175381884,0.0965693671234427,0.980672268907563,0.9806685443363645
21,0.20569243913004778,0.15702193534164222,0.9449579831932773,0.9446975699582901
22,0.18725157420406335,0.09618448801401178,0.9760504201680672,0.9760227463795399
23,0.21327243970317844,0.1110230721283279,0.9642857142857143,0.9641890165210465
24,0.1885205934272733,0.11336279012912871,0.9600840336134454,0.9599679187194741
25,0.17335879876140003,0.09583694653389443,0.976890756302521,0.9768705571433641
26,0.1920590386387326,0.26520465304387497,0.8878151260504201,0.8857760727627954
27,0.18674298147711532,0.1383751057113377,0.9533613445378152,0.9532110707882767
28,0.17713237265031012,0.15196875931582596,0.9352941176470588,0.9348600127362123
29,0.22632042921757936,0.09351401044455851,0.9777310924369748,0.9777101089934109
30,0.17560840346027645,0.10841681787606654,0.965546218487395,0.9654860879300033
